현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009520,서울 성북구,지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),GS칼텍스,셀프,1911,1635,1825,0
A0026419,서울 성북구,삼선주유소,서울 성북구 창경궁로 324,S-OIL,셀프,2147,1697,1875,0
A0032713,서울 성북구,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,GS칼텍스,셀프,1927,1701,1894,1486
A0000074,서울 도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),S-OIL,셀프,0,1637,1847,1600
A0009575,서울 도봉구,오복주유소,서울 도봉구 방학로 43,S-OIL,셀프,2250,1736,1867,1700
A0009599,서울 도봉구,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,GS칼텍스,셀프,1865,1648,1895,1615
A0009600,서울 도봉구,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),GS칼텍스,셀프,1861,1648,1895,1485
A0009642,서울 도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),SK에너지,셀프,0,1625,1815,1600
A0009668,서울 도봉구,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),현대오일뱅크,일반,0,1625,1825,1500
A0009669,서울 도봉구,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,현대오일뱅크,일반,2054,1657,1847,1769
A0009676,서울 도봉구,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),현대오일뱅크,셀프,1857,1625,1815,0
A0009677,서울 도봉구,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),현대오일뱅크,셀프,0,1698,1878,1650
A0009680,서울 도봉구,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),S-OIL,셀프,0,1625,1825,0
A0009682,서울 도봉구,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),현대오일뱅크,셀프,0,1629,1829,0
A0009845,서울 도봉구,노원교주유소,서울 도봉구 마들로 776 (도봉동),현대오일뱅크,셀프,0,1636,1863,1560
A0010135,서울 도봉구,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),S-OIL,셀프,0,1629,1849,0
A0010144,서울 도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),GS칼텍스,셀프,0,1635,1869,0
A0010146,서울 도봉구,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),SK에너지,셀프,0,1637,1837,0
A0032674,서울 도봉구,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,셀프,0,1625,1825,0
A0000134,서울 서대문구,구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,셀프,0,1647,1843,1850
A0000178,서울 서대문구,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,셀프,0,1669,1867,0
A0000568,서울 서대문구,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,일반,0,1698,1898,1800
A0000585,서울 서대문구,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),현대오일뱅크,일반,0,1659,1844,0
A0000591,서울 서대문구,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,일반,1998,1698,1898,0
A0000623,서울 서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,현대오일뱅크,셀프,0,1653,1873,0
A0000627,서울 서대문구,행촌제2주유소,서울 서대문구 성산로 490 (대신동),SK에너지,셀프,1958,1649,1858,0
A0000632,서울 서대문구,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),S-OIL,셀프,0,1659,1899,1700
A0000669,서울 서대문구,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),현대오일뱅크,일반,1999,1679,1864,0
A0000716,서울 서대문구,현대오일뱅크(주)직영 연세주유소,서울 서대문구 연희로 184,현대오일뱅크,셀프,1978,1649,1849,0
A0000737,서울 서대문구,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,일반,0,1658,1878,1800
A0000744,서울 서대문구,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,셀프,1938,1668,1858,0
A0000746,서울 서대문구,삼미상사(주)서부주유소,서울 서대문구 성산로 255,SK에너지,셀프,0,1689,1885,0
A0000747,서울 서대문구,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),SK에너지,셀프,1958,1675,1865,0
A0001193,서울 서대문구,(주)성림에너지 홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,셀프,1869,1669,1859,0
A0000571,서울 은평구,타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,셀프,0,1634,1834,1700
A0000619,서울 은평구,다회주유소,서울 은평구 증산로 441 (신사동),S-OIL,셀프,0,1654,1854,0
A0000629,서울 은평구,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GS칼텍스,셀프,1879,1669,1859,1675
A0000630,서울 은평구,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GS칼텍스,셀프,1899,1669,1859,1702
