현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000189,서울 강북구,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),현대오일뱅크,일반,1890,1625,1825,0
A0000394,서울 강북구,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),S-OIL,셀프,0,1635,1835,0
A0009535,서울 강북구,세원주유소,서울 강북구 한천로 918 (번동),SK에너지,셀프,0,1668,1868,1650
A0009603,서울 강북구,에덴주유소,서울 강북구 월계로 195 (번동),SK에너지,셀프,0,1689,1879,0
A0009608,서울 강북구,수유동주유소,서울 강북구 도봉로 395 (수유동),GS칼텍스,셀프,0,1625,1815,0
A0009609,서울 강북구,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),GS칼텍스,셀프,1950,1669,1848,0
A0009610,서울 강북구,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,셀프,0,1635,1835,0
A0009640,서울 강북구,현대오일뱅크(주)직영 번동셀프주유소,서울 강북구 한천로 963 (번동),현대오일뱅크,셀프,1925,1637,1827,0
A0009641,서울 강북구,(주)석산에너지,서울 강북구 삼양로 316 (수유동),현대오일뱅크,셀프,0,1625,1825,1550
A0009645,서울 강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,일반,0,1665,1855,1680
A0009665,서울 강북구,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),SK에너지,셀프,0,1625,1845,0
A0009678,서울 강북구,북서울고속주유소,서울 강북구 삼양로 410 (수유동),SK에너지,셀프,1890,1625,1825,0
A0001055,서울 금천구,남서울경복에너지,서울 금천구 독산로 257 (독산동),현대오일뱅크,셀프,0,1685,1905,0
A0001075,서울 금천구,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),S-OIL,셀프,0,1685,1898,0
A0001086,서울 금천구,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),알뜰주유소,셀프,0,1615,1879,1700
A0001108,서울 금천구,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),GS칼텍스,셀프,1715,1615,1935,0
A0001124,서울 금천구,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,GS칼텍스,셀프,1858,1708,1935,1600
A0001132,서울 금천구,현대오일뱅크(주)직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),현대오일뱅크,셀프,1979,1665,1880,0
A0001139,서울 금천구,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,SK에너지,일반,1829,1689,1899,1700
A0001141,서울 금천구,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),현대오일뱅크,일반,0,1674,1889,0
A0001146,서울 금천구,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,셀프,1745,1645,1935,1650
A0001164,서울 금천구,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,SK에너지,셀프,0,1614,1898,1700
A0016244,서울 금천구,구광주유소,서울 금천구 서부샛길 674 (가산동),S-OIL,일반,0,1595,1835,1530
